Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MER,France,PARIS,http://www.interieur.gouv.fr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=235324ff-bd6f-4bc5-b71c-74adb65793c8,Hall 5b / C119,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",14.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed MINISTÈRE DE L'INTÉRIEUR ET DES OUTRE-MER at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
Ministère des Armées et des Anciens combattants,France,PARIS CEDEX 15,http://www.defense.gouv.fr/,https://www.linkedin.com/company/ministere-des-armees,,Hall 5a / F128,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Ministère des armées et des anciens combattants - PEPS,France,PARIS,http://www.defense.gouv.fr/,,,Hall 4 / G06,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MINISTRY OF DEFENCE,Cyprus,NICOSIA,https://mod.gov.cy/,,,Hall 5b / D220,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Ministry of Defence of the Slovak Republic,Slovaquie,BRATISLAVA,https://www.mosr.sk/mo-sr-en/,,,Hall 5b / A297,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Ministry of Defence Republic of Croatia,Croatie,Zagreb,https://www.morh.hr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=eb8a25d4-c0bc-4b04-bd60-1e42db3b836c,Hall 4 / E31,OEM,Optics / optronics,Air defense; Naval defense; Homeland security,Optronics / Optics,Sub-systems / Components,,,Defense ministries; Air forces; Navy; Police / law enforcement,NATO; Europe; United States; France,Acheteur potentiel,Electronic components,"Composite materials; Mechanical parts; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",67.4,B,Vend des sous-systèmes / composants à un OEM construisant Optronics / Optics.,"Hi — Ministry of Defence Republic of Croatia ships Optronics / Optics to Defense ministries, Air forces (+2).","Ministry of Defence Republic of Croatia sells optronics, they need detector and electronics suppliers. Lead with quality data.",Review website and validate opportunity,New,,,High
"MINISTRY OF DEFENCE, GOVT. OF INDIA",Inde,NEW DHELI,http://www.drdo.gov.in/,,,,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
"Ministry of Economic Development, Job Creation and Trade, Ontario, Canada",Canada,TORONTO,http://www.sourcefromontario.com/en/page/event/137030/ontario-eurosatory-2024,https://www.linkedin.com/company/ontario-ministry-of-economic-development-job-creation-and-trade/?originalSubdomain=ca,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=7ead4f42-e0a3-4f67-a47f-aee0e2699934,Hall 5a / E371,OEM,Space / satellite,Cybersecurity; UAV / drones; Optics / optronics; AI / data; Logistics / MRO; Export / distribution,Optronics / Optics; Software / Platforms; Logistics equipment; Engines / propulsion; UAV / drones; Mechanical parts; Communications networks; Satellites / Space,Sub-systems / Components; Maintenance / MRO; Engineering / consulting; Finished products; Distribution / agency,Maintenance / MRO; Engineering / consulting; Distribution / agency,Artificial intelligence; Thermal imaging; Cybersecurity; Big data / analytics; Robotics / autonomy; Cryptography,Critical infrastructure; Aerospace primes,Europe; France; United States; Asia; Germany; United Kingdom; India; Middle East,Acheteur potentiel,Electronic components,"Composite materials; Mechanical parts; Cloud / data services; Cybersecurity solutions; AI platforms; Materials; Communications networks; Materials (high temperature alloys); Embedded systems; Energy / batteries; Engines / propulsion; Sensors; Optronics / Optics; Raw materials (steel, aluminium); Industrial subcontracting / machining; RF / microwave components; Launch services",84.0,A,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed Ministry of Economic Development, Job Creation and Trade, Ontario, Canada builds Optronics / Optics, Software / Platforms (+6) for Space / satellite.","Space primes source composites, sensors, comms and launch services.",Contact sales team and qualify need,New,,,High
Ministry of Economy,Croatie,Zagreb,https://mingo.gov.hr/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5fe845a9-b18b-4b0c-9919-2f3b962431e8,Hall 4 / E31,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",16.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Ministry of Economy at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
Ministry of Industry and Mineral Resources,Arabie saoudite,Riyadh,,,,Hall 5a / K396,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MINISTRY OF INDUSTRY AND TRADE OF THE CZECH REP.,République tchèque,PRAHA 1,https://mpo.gov.cz/en/,,,Hall 5a / K263,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Ministry of Investment of Saudi Arabia,Arabie saoudite,Riyadh,,,,Hall 5a / K396,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MIPA,Allemagne,ESSENBACH,http://www.mipa-paints.com/,,,Hall 4 / C161,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Miranda Military,Pologne,TUREK,https://www.mirandamilitary.pl/,,,Hall 5b / A380,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MIRION TECHNOLOGIES,France,LAMANON,http://www.mirion.com/,https://www.linkedin.com/company/mirion-technologies-france,,Hall 5a / H261,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MIRMEX MOTOR,Belgique,WAVRE,http://www.mirmexmotor.com/,https://www.linkedin.com/company/mirmexmotor/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=98f85b52-77b6-42e8-a2b6-62b95bd5bece,Hall 4 / E78,Sous-traitant industriel,Other,,Software / Platforms; Robotics / UGV; Engines / propulsion; Electronic components,Finished products; Sub-systems / Components; Integration services; Engineering / consulting,Engineering / consulting,Robotics / autonomy,Aerospace primes,Europe,Fournisseur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Electronic components; Sensors; Energy / batteries; Engines / propulsion; Composite materials; Mechanical parts; Materials (high temperature alloys); Embedded systems; Industrial subcontracting / machining; Materials; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",48.5,C,Activité à qualifier — discovery call avant pitch précis.,"Hi — I noticed MIRMEX MOTOR builds Software / Platforms, Robotics / UGV (+2) for Other.",Public data is thin — qualify the activity before pitching supply.,Keep in watchlist,New,,,Medium
Mistral Group,États-Unis,BETHESDA,http://www.mistralinc.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=fb2e87d2-f132-47a0-85a5-ea76f56850c7,Hall 5a / C310,OEM,Radar / sensors,Naval defense; Homeland security; C4ISR; UAV / drones; Counter-UAV; Weapons; Ammunition; Simulation / training; Logistics / MRO; Industrial subcontracting,UAV / drones; Counter-UAV systems; Sensors; Logistics equipment; Weapons; Vehicles; Ammunition; Energy / batteries; Radars,Sub-systems / Components; Sub-contracting; Finished products; Certification / testing,Sub-contracting; Certification / testing,Robotics / autonomy; Simulation,Special forces; Police / law enforcement,,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Radars; RF / microwave; AI platforms; Electronic components; Mechanical parts; Materials; Ammunition components; Ballistic protection; Energetic materials; Packaging; Materials (Li-ion, electrolytes)",70.0,B,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed Mistral Group builds UAV / drones, Counter-UAV systems (+7) for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Review website and validate opportunity,New,,,High
Mitekas,Lituanie,Vilnius,http://mitekas.com/,https://www.linkedin.com/company/mitekas-defense/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=35909344-7aea-4996-a55f-9b1695c422d0,Hall 4 / E154,OEM,Electronic warfare,Homeland security; UAV / drones; Counter-UAV; Ammunition; Radar / sensors; Logistics / MRO,UAV / drones; Counter-UAV systems; Software / Platforms; Embedded systems; Ammunition; Robotics / UGV; Logistics equipment; Communications networks; Sensors,Sub-systems / Components; Integration services,,Cloud; Robotics / autonomy; Big data / analytics; RF / microwave,Special forces; Police / law enforcement,Europe; NATO,Acheteur potentiel,Energy / batteries,Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Radars; RF / microwave; AI platforms; Cloud / data services; Cybersecurity solutions; Electronic components; Energetic materials; Mechanical parts; Packaging; Materials; RF / microwave components,75.0,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed Mitekas builds UAV / drones, Counter-UAV systems (+7) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
Mittler Report Verlag GmbH,Allemagne,BONN,http://www.mittler-report.de/,https://www.linkedin.com/company/eurodefence,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=639d6d95-2709-4c6e-91fe-59707bab308a,Hall 5a,OEM,Cybersecurity,Air defense; Naval defense,Logistics equipment; Communications networks,,,,,Europe; NATO,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; RF / microwave components; Embedded systems; Cybersecurity solutions; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",59.2,C,"Outils SOC/SIEM, brique de sécurité défensive pour vendeur cyber.","Hi — Mittler Report Verlag GmbH ships Logistics equipment, Communications networks to defense customers.","Mittler Report Verlag GmbH sells cyber to defense — they also need NDA-friendly suppliers for components, cloud and audits. Lead with compliance pedigree.",Keep in watchlist,New,,,Medium
MKS Servo,Taïwan,YILAN CITY,https://www.mks-servo.com/,https://www.linkedin.com/company/96599752,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=ecfe21d8-0e91-40a8-8833-4b53faed0e43,Hall 4 / D118,OEM,UAV / drones,Radar / sensors,UAV / drones; Engines / propulsion; Sensors,,,,,Europe; Asia; Middle East; Africa,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Mechanical parts; Materials (high temperature alloys); Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",63.6,B,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed MKS Servo builds UAV / drones, Engines / propulsion (+1) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Review website and validate opportunity,New,,,High
MKU LIMITED,Inde,KANPUR,https://www.mku.com/,,,Hall 6 / J50,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
MNC SOLUTION,Corée du Sud,GYEONGSANGNAM-DO,http://www.mncsolution.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=41f8cc6b-6313-4c88-a3b1-3f64be4414f0,Hall 6 / A327,OEM,Naval defense,Air defense; Armored vehicles; Ammunition; Radar / sensors,Vehicles; Communications networks; Naval systems; Radars; Engines / propulsion; Ammunition,Sub-systems / Components,,RF / microwave,Aerospace primes,,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; RF / microwave components; Embedded systems; Cybersecurity solutions; Electronic components; Materials (high temperature alloys); Energetic materials; Packaging; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",65.0,B,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.","Hi — MNC SOLUTION ships Vehicles, Communications networks (+4) to Aerospace primes.",MNC SOLUTION sells naval kit — long sales cycle. Programme office is the buyer.,Review website and validate opportunity,New,,,High
